bathrooms,furnished,price,bedrooms,utilities,longitude,date,roommate,pets,address,latitude,neighbourhood
1,1,900,0,,-123.380219,2018-02-20 19:17,0,0,423 Boleskine rd Victoria BC CA,48.452453,
1,0,1175,0,,-123.348609,2018-02-08 23:02,0,0,1201-1279 Grant St Victoria BC CA,48.428905,Fernwood
1,0,1275,0,,-123.365906,2018-02-13 22:37,1,1,2512 Douglas Street Victoria BC CA,48.436203,Burnside
1,0,1500,2,,-123.362619,2018-02-04 19:27,0,1,Savannah Avenue at Cloverdale Avenue Saanich BC CA,48.454506,
1,0,4200,2,,-123.303819,2018-01-08 22:20,0,1,2707 Estevan Ave Victoria BC CA,48.436033,
1,1,850,2,,-123.718777,2018-01-30 21:31,0,0,1030 Government Street Duncan BC CA,48.787,
1,0,1800,2,,-123.389997,2018-01-20 19:22,0,1,"Old East Rd & Tanner Rd, Victoria, BC",48.554088,
1,0,1450,1,,-123.379905,2018-01-03 14:49,0,1,"Falaise Crescent & Royal Oak Dr, Victoria, BC",48.498208,
1,0,950,1,,-123.32302,2017-12-08 5:18,0,0,Osgoode Pl Victoria BC CA,48.473275,
1,0,1200,1,,-123.32776,2018-01-06 18:59,0,0,Duchess Street Victoria BC CA,48.429629,South Jubilee
0,1,1400,1,,-123.695161,2017-12-19 22:35,0,0,2520 Aleaxander Duncan BC BC CA,48.781088,
1,0,1450,1,,-123.373724,2018-01-06 20:46,1,1,Nelthorpe St at Lakeview Victoria BC CA,48.47102,
1,0,1400,2,,,2018-01-06 21:20,0,0,,,
0,0,1400,0,,,2018-01-07 1:30,0,0,,,
4,0,5500,4,,-123.293585,2018-01-07 5:56,0,1,3115-3155 Beach Dr Victoria BC CA,48.44359,
1.5,0,1495,4,,,2018-01-07 14:04,0,0,,,
1,1,1175,1,,-123.385452,2018-01-07 18:06,0,0,605 Rachel Anne Place Victoria BC CA,48.468547,
0,0,2200,0,1,-123.425054,2017-12-10 19:58,1,1,Quincy St Victoria BC CA,48.46602,
0,1,750,1,,-123.324055,2018-01-07 18:18,0,0,4511-4571 Bissenden Pl Victoria BC CA,48.491436,
1,0,1900,3,1,-123.403587,2018-01-07 22:18,1,1,374 Gorge Rd W Victoria BC CA,48.448675,
1,0,1100,1,,-123.347515,2017-12-09 0:48,1,0,Rockland Avenue at Moss Street Victoria BC CA,48.420983,Rockland
1,0,2250,3,0,-123.547563,2018-01-07 23:56,1,1,Sooke rd at westshore parkway langford BC CA,48.42583,
2,0,2500,3,1,-123.336726,2018-01-08 7:11,0,1,Cedar Hill Rd Victoria BC CA,48.463403,
1,1,885,1,0,-123.485283,2018-01-08 10:20,0,0,"330 Cotlow Rd, Victoria BC BC CA",48.415272,
2,0,3151,2,0,-123.404446,2017-12-17 16:54,0,1,Anson Cres Victoria BC CA,48.419062,
1,1,1100,0,0,-123.374161,2017-12-11 21:28,1,0,456 BC-1A Victoria BC,48.440927,Burnside
1,1,1300,1,0,,2018-01-05 4:34,0,0,,,
1,0,2900,1,0,,2017-12-13 2:55,0,1,,,
2,0,3000,3,1,-123.471968,2018-01-08 22:14,0,1,645 Towner Park North Saanich BC CA,48.669101,
1,1,1400,2,0,-123.359397,2018-01-10 9:55,0,0,303-329 Vncouver St Victoria BC CA,48.414057,Fairfield
1,1,1275,1,0,-123.353167,2018-01-10 10:09,0,0,624-602 Trutch St Victoria BC CA,48.418724,Fairfield
1,0,1725,2,0,-123.35054,2018-01-10 17:33,0,0,3714 Blenkinsop Rd Victoria BC CA,48.461181,
2,0,1700,2,0,-123.409294,2018-01-10 20:17,0,1,1156 Colville Rd Victoria BC CA,48.438984,
1,1,1650,1,0,-123.423625,2018-01-08 17:56,1,0,101 Island Hwy Victoria BC CA,48.451044,
1,1,1300,1,0,-123.364632,2018-01-07 5:04,0,0,2 Field St Victoria BC CA,48.434799,Burnside
1,1,1900,2,0,-123.303554,2018-01-11 1:13,0,0,Lincoln at Burdick Victoria BC CA,48.438478,
3,1,2500,3,1,-123.384537,2018-01-08 21:34,0,1,245-205 Wilson St Victoria BC CA,48.432868,Victoria West
0,0,1850,3,0,-123.384833,2017-12-13 2:56,0,0,1020-1004 Catherine St Victoria BC CA,48.436405,Victoria West
1,0,1900,1,0,-123.351934,2018-01-11 14:51,1,1,1145 MEARES Victoria BC CA,48.422475,Fairfield
1,0,1700,1,0,-123.351934,2018-01-11 14:51,0,0,1145 Meares Street Victoria BC CA,48.422475,Fairfield
1,0,1850,2,0,-123.369262,2018-01-11 17:15,0,1,Douglas at Dallas Victoria BC CA,48.408801,James Bay
1,0,900,1,0,-123.37026,2018-01-11 18:08,0,0,Sannich Rd Victoria BC CA,48.455879,
1,0,1500,2,0,-123.360107,2018-01-11 22:24,0,0,830 Pembroke St Victoria BC CA,48.432531,North Park
1,0,1575,1,0,-123.370582,2017-12-13 17:51,0,0,143 Government Street Victoria BC CA,48.413,James Bay
0,1,480,1,1,-123.362012,2017-12-13 16:42,0,0,791 Pandora Avenue Victoria BC CA,48.427596,Downtown
1,0,1600,2,0,,2018-01-12 0:13,0,0,,,
1,0,1500,2,0,-123.370874,2018-01-12 1:17,0,1,OLYMPIA at DALLAS VICTORIA BC CA,48.40903,James Bay
1,0,1600,2,1,-123.370895,2017-12-17 2:15,1,0,4961 Georgia Park Terrace,48.51474,
1,1,1000,1,1,-123.375014,2018-01-12 5:34,0,0,#304 Victoria BC CA,48.454324,
1,1,1500,3,1,-123.640569,2018-01-12 11:14,0,1,Thomson Terrace Duncan BC CA,48.794994,
1,0,2100,1,1,-123.351869,2018-01-12 15:27,0,1,1145 Meares Street Victoria BC CA,48.422468,Fairfield
1,1,1900,1,1,-123.351869,2018-01-12 15:27,0,0,1146 Meares Street Victoria BC CA,48.422468,Fairfield
1,0,1575,2,0,-123.363632,2018-01-03 5:46,0,0,3252 Glasgow Ave Victoria BC CA,48.450613,
1.5,1,1900,3,0,-123.44725,2018-01-12 19:25,0,0,381-349 Kislingbury Ln Victoria BC CA,48.460099,
2,0,1700,2,0,-123.749802,2018-01-12 19:26,0,0,west coast road sooke BC CA,48.372114,
1,0,900,2,0,-123.734898,2018-01-09 18:48,1,0,3280-3258 Sherman Rd Duncan BC CA,48.792018,
1,0,1600,1,0,-123.351188,2017-12-31 13:33,0,0,1176-1142 Fort St Victoria BC CA,48.423078,Fairfield
0,0,1500,0,0,-123.41453,2018-01-13 18:33,0,0,2050-2038 Brethourpark Way Sidney BC CA,48.642414,
3,1,2200,3,0,-123.391399,2018-01-13 18:42,0,1,540 Marsett Pl Victoria BC CA,48.505339,
0,0,1100,0,1,,2018-01-13 19:04,0,0,,,
1,0,1600,1,0,-123.367783,2018-01-13 19:09,0,0,620 Toronto Street Victoria BC CA,48.416238,James Bay
1,1,2300,3,0,-123.489065,2018-01-13 21:20,0,1,Sooke rd langford BC CA,48.435818,
2,1,2500,4,0,-123.390471,2018-01-14 0:02,0,1,Pine Victoria BC CA,48.43675,Victoria West
1,0,1350,2,0,-123.364812,2018-01-14 5:27,0,0,74 Villance St Victoria BC CA,48.447773,Hillside/Quadra
2,0,2500,2,0,-123.331639,2018-01-14 6:41,1,1,Robertson victoria BC CA,48.412192,Gonzales
1,0,1700,1,0,-123.351901,2018-01-14 16:34,0,0,1145 MEARES Victoria BC CA,48.422461,Fairfield
1.5,0,2900,4,0,-123.316426,2018-01-14 18:13,0,1,3997-4151 San Mateo Pl Victoria BC CA,48.478391,
1,0,1195,1,0,-123.369473,2018-01-14 20:57,0,0,4077 Tuxedo drive Victoria BC CA,48.473786,
1,1,1000,1,1,-123.377059,2018-01-03 21:21,1,0,Michigan at Oswego Victoria BC CA,48.418894,James Bay
1,0,1650,0,0,-123.439906,2018-01-15 3:07,0,1,301 Beaumont Ave Victoria BC CA,48.452567,
1,0,1500,2,1,-123.35459,2017-12-27 19:28,0,0,1272-1284 Mysty Woods Victoria BC CA,48.505119,
1,0,1500,2,0,-123.411476,2018-01-15 6:17,0,0,2123-2157 Bradford Ave Sidney BC CA,48.656155,
1,1,875,1,0,-123.668759,2018-01-12 4:20,0,0,2739 W Shawnigan Lake Rd Shawnigan Lake BC CA,48.6535,
1,0,1500,2,0,-123.475036,2018-01-15 18:52,0,0,Goldstone Heights Victoria BC CA,48.452196,
1,0,1700,1,0,-123.369786,2018-01-15 18:54,0,1,Wharf at Fort Victoria BC CA,48.425105,Downtown
1,0,1300,1,0,-123.362618,2018-01-15 19:22,0,0,759 YATES STREET Victoria BC CA,48.425911,Downtown
1,0,1300,1,0,-123.364632,2018-01-11 0:18,0,0,2 Field St Victoria BC CA,48.434799,Burnside
1,0,1350,2,0,-123.352775,2017-12-18 21:22,1,0,2330 Cook Street Victoria BC CA,48.43424,North Park
2,0,2700,3,0,-123.34886,2018-01-15 23:01,0,0,1443 Tolmie Ave,48.450185,Oaklands
1,0,2375,3,1,-123.350307,2018-01-16 0:10,0,1,1641-1655 Chambers St Victoria BC CA,48.427711,Fernwood
1,0,1600,2,0,,2018-01-16 0:52,0,0,,,
1,0,1360,1,0,-123.358653,2018-01-13 17:26,0,0,536-506 Vancouver St Victoria BC CA,48.417238,Fairfield
1,1,1200,1,0,,2017-12-19 22:44,0,0,,,
1,1,1200,1,1,,2018-01-16 2:45,0,0,,,
2,0,2300,3,0,-123.442572,2017-12-18 17:02,1,1,1338 Stellys X Rd Saanich BC CA,48.580053,
1,1,1100,2,0,-123.716816,2018-01-16 17:59,0,0,Grant Road Sooke BC CA,48.38317,
1,0,1900,2,0,,2018-01-16 20:03,0,1,,,
1,0,1495,2,0,-123.366794,2018-01-08 22:50,1,0,4019-4037 Quadra St Victoria BC CA,48.471368,
1,0,1800,2,0,-123.496449,2018-01-16 21:43,1,0,709 Massie Rd Victoria BC CA,48.449361,
1,0,1000,1,0,-123.38418,2018-01-16 22:58,1,1,405 Catherine St Victoria BC CA,48.430641,Victoria West
1,0,1350,2,0,-123.397446,2018-01-16 23:08,0,0,841 Esquimalt Road Victoria BC CA,48.431587,
1,0,1000,1,0,-123.397446,2018-01-16 23:10,0,0,841 Esquimalt Road Victoria BC CA,48.431587,
1,0,1000,1,1,-123.395092,2018-01-16 23:15,0,0,804 Esquimalt Road Victoria BC CA,48.432374,
1,0,1800,2,0,-123.519579,2018-01-17 3:31,1,0,1115 Goldstream Ave Victoria BC CA,48.449166,
1,0,1700,2,0,,2018-01-17 5:43,1,0,325 Victoria BC CA,,
2,0,2500,3,1,-123.327899,2018-01-17 8:18,1,0,1608 Ash Rd Victoria BC CA,48.49246,
1,0,1800,2,1,-123.381868,2018-01-17 9:13,0,1,3422 Harriet Victoria BC CA,48.453843,
2.5,0,1450,3,1,,2018-01-11 17:35,0,0,,,
0,0,800,0,1,-123.7027,2018-01-17 17:05,0,0,2687 James St Duncan BC CA,48.7829,
1,1,1495,2,1,-123.342761,2018-01-17 17:37,0,0,1350 Stanley Ave Victoria BC CA,48.425476,Fernwood
1,1,1495,2,1,-123.342536,2018-01-17 18:27,0,0,1311-1373 Stanley Ave Victoria BC CA,48.425412,Fernwood
2,0,4700,5,1,-123.308515,2018-01-18 5:02,0,1,Nottingham Rd. Victoria BC CA,48.442975,
0,0,1600,0,0,-123.368571,2018-01-18 7:49,1,0,898 Tattersall Dr Victoria BC CA,48.456476,
1,0,850,0,0,-123.396618,2018-01-18 9:10,1,0,2499 Beacon Ave Sidney BC CA,48.648794,
1,0,2000,2,0,-123.399451,2018-01-12 5:41,1,1,Springridge Crescent Victoria BC CA,48.482266,
1,0,1580,1,0,-123.375416,2018-01-18 18:36,0,0,425 Simcoe Street Victoria BC CA,48.4156,James Bay
1.5,1,1935,1,0,-123.375416,2018-01-18 19:04,0,1,426 Simcoe Street Victoria BC CA,48.4156,James Bay
1,0,1100,1,0,-123.407343,2018-01-18 22:36,0,0,2185-2207 James White Blvd Sidney BC CA,48.651501,
2,1,1995,3,0,-123.379666,2018-01-18 23:00,0,0,washington at burnside victoria BC CA,48.446939,Burnside
1,0,2350,1,0,-123.37828,2018-01-19 2:24,0,1,379 Tyee Rd Victoria BC CA,48.431188,Victoria West
0,0,2150,0,0,-123.369211,2018-01-08 3:30,0,1,1315 Waddington Alley #102 Victoria BC CA,48.427202,Downtown
1,1,790,1,0,-123.321921,2018-01-19 3:54,0,0,1980 Argyle Ave Victoria BC CA,48.448492,
1,1,950,1,0,-123.334914,2018-01-19 5:47,0,0,2770-2700 Scott St Victoria BC CA,48.438139,Oaklands
0,0,2300,3,0,-123.351445,2018-01-19 5:50,1,1,1331 Finlayson St Victoria BC CA,48.447394,Hillside/Quadra
1,0,2800,2,0,-123.30611,2018-01-19 17:01,1,0,877-977 Byng St Victoria BC CA,48.419996,
1,0,1600,2,0,,2018-01-19 17:33,1,0,,,
1,0,1965,2,0,-123.409242,2018-01-19 17:57,0,0,2174 Amelia Ave Sidney BC CA,48.658991,
0,1,850,0,0,-123.343283,2018-01-05 2:57,0,0,1349 Grant Street Victoria BC CA,48.428529,Fernwood
2,0,2300,3,0,-123.33678,2018-01-20 6:40,0,0,Cedar Hill Rd Victoria BC CA,48.463332,
1,0,1000,1,0,,2018-01-20 16:04,0,0,,,
1,0,1500,2,0,-123.411268,2018-01-20 17:53,0,1,2134 Bradford ave Sidney BC CA,48.656378,
1,0,1500,2,0,-123.475036,2018-01-20 20:05,0,0,Goldstone Heights Victoria BC CA,48.452196,
0,0,1200,0,0,-123.375163,2018-01-20 21:25,1,0,425-475 Simcoe St Victoria BC CA,48.415953,James Bay
1.5,0,2350,2,0,-123.34729,2018-01-20 22:06,0,1,1301-1311 Rockland Ave Victoria BC CA,48.420805,Rockland
2,0,1600,2,0,-123.327615,2018-01-21 2:55,0,0,3547 Richmond Road Victoria BC CA,48.455625,
1,0,1450,1,0,-123.497395,2017-12-23 16:43,0,0,623 Treanor Ave Langford BC BC CA,48.464575,
1,0,1500,2,0,-123.29248,2018-01-21 14:08,0,0,3920-3910 Cherrilee Crescent Victoria BC CA,48.461682,
0,0,1650,0,0,-123.3658,2018-01-21 20:18,0,0,Sanich British Columbia CA,48.4777,
1,0,1800,2,0,-123.490256,2018-01-16 4:38,1,1,333-305 Sabina Pl Victoria BC CA,48.46663,
1,0,1100,1,0,-123.715858,2018-01-21 23:58,0,0,2081 Solent Rd N Sooke BC CA,48.481422,
1,0,1600,2,0,-123.352898,2018-01-22 0:10,0,0,3631-3651 Bridgeport Dr Victoria BC CA,48.459375,
2,0,2350,2,0,-123.391801,2018-01-22 2:40,0,1,Suffolk Street Victoria BC CA,48.431834,Victoria West
1,1,790,0,0,-123.356521,2018-01-22 4:37,0,0,Sutlej st at Cook st Victoria BC CA,48.414612,Fairfield
1,0,2000,1,1,-123.361966,2018-01-22 5:02,1,0,741 Johnson St Victoria BC CA,48.426887,Downtown
1,0,2250,3,1,-123.402746,2018-01-22 5:39,1,1,650 Head street Victoria BC CA,48.43239,
1,0,1225,1,1,-123.363961,2018-01-22 15:18,1,0,960 Inverness Rd Victoria BC CA,48.452641,
1,0,1125,1,1,,2018-01-05 5:02,0,0,,,
